tt,0.3_outdoor,0.5_outdoor,1.0_outdoor,3.0_outdoor,5.0_outdoor,10.0_outdoor,0.3_classroom,0.5_classroom,1.0_classroom,3.0_classroom,5.0_classroom,10.0_classroom,CO2_outdoor,CO2_classroom,PM2.5_outdoor,PM10_outdoor,PM2.5_classroom,PM10_classroom,PM2.5_classroom_change,PM10_classroom_change,CO2_classroom_change,time
2019-12-02 15:47:02,1585195.9199999997,1034364.0,1139223.0,2423331.0,4947000.0,2120000.0,166178.78999999998,197305.625,212014.0,410238.0,1280875.0,1413000.0,414.8,584.6,3728770.222000002,13387000.8,548251.4406000001,1940575.0,5190.033400000073,436876.19999999995,1.6000000000000227,0.5482932295199142
2019-12-02 15:48:02,1585968.6599999997,1032023.0,1165371.0,2175255.0,5874500.0,4594000.0,168678.44999999998,196333.875,242756.0,448416.0,795000.0,1767000.0,414.0,585.0,3735456.1840000018,12693855.8,562635.1184000003,2317562.8,14383.67780000018,376987.7999999998,0.39999999999997726,0.544639035015027
2019-12-02 15:49:02,1603590.2099999997,1053533.625,1090813.0,2013066.0,5300375.0,5300000.0,174755.82599999997,208613.125,217315.0,381618.0,1457625.0,1767000.0,416.2,584.0,3757073.859000002,12856240.6,579227.7142000002,2668503.6,16592.595799999894,350940.8000000003,-1.0,0.540974471367994
2019-12-02 15:50:02,1623758.9399999997,1078710.25,1185512.0,2432862.0,6183750.0,10247000.0,186395.41799999998,219611.25,262898.0,496125.0,706750.0,1413000.0,415.8,583.0,3790826.9850000017,13742641.6,606304.5838000003,2835944.8,27076.869600000093,167441.19999999972,-1.0,0.5372996083468242
2019-12-02 15:51:02,1616021.5499999998,1049160.75,1152297.0,2375622.0,6581250.0,5300000.0,183037.10399999996,223233.25,249117.0,343467.0,1148375.0,353000.0,416.6,582.4,3799108.5810000016,13573602.2,621648.5426000002,2836297.8,15343.958799999906,353.0,-0.6000000000000227,0.5336145159156114
2019-12-02 15:52:02,1612024.1999999997,1056802.125,1128975.0,2146635.0,4947000.0,4594000.0,184468.21199999997,221333.875,271732.0,515187.0,795000.0,1060000.0,414.6,582.2,3806912.262000002,14013063.0,642055.6770000001,2689512.6,20407.13439999998,-146785.19999999972,-0.1999999999999318,0.529919264233205
2019-12-02 15:53:02,1635923.5199999998,1079858.625,1112014.0,2222964.0,5212000.0,6007000.0,187063.23599999998,228003.5,275265.0,429327.0,1192625.0,707000.0,416.4,582.4,3815798.9590000017,14172704.8,658568.3592000002,2553219.8,16512.68220000004,-136292.80000000028,0.1999999999999318,0.5262139236518698
2019-12-02 15:54:02,1661177.4299999997,1080786.25,1134276.0,2375622.0,6272125.0,3180000.0,192148.41599999997,234054.75,279152.0,629694.0,1369250.0,1767000.0,420.2,582.6,3841459.528000002,14015566.0,679502.6022000003,2585160.0,20934.243000000133,31940.200000000186,0.20000000000004547,0.5224985647159486
2019-12-02 15:55:02,1700131.9499999997,1089443.5,1183392.0,2242053.0,4593625.0,6714000.0,195659.38799999998,235159.0,278092.0,543807.0,1104250.0,0.0,418.0,582.0,3858456.780000001,12952779.2,687503.7462000002,2391596.4,8001.143999999855,-193563.6000000001,-0.6000000000000227,0.5187732581605214
2019-12-02 15:56:02,1714633.6499999997,1111749.125,1162191.0,2108484.0,5079500.0,4947000.0,201698.58599999998,245803.875,294346.0,562896.0,1192625.0,2120000.0,418.2,580.2,3892675.6750000007,12528401.6,704795.9676000003,2797732.2,17292.221400000155,406135.8000000003,-1.7999999999999545,0.5150380749100544
